Objetivo / Meta,Indicador Oficial,Variables a Medir,Unidad de Medida,Método de Cálculo,Fuentes de Datos Sugeridas,Sinergia con Convenciones
Goal A,A.1 Lista Roja de Ecosistemas,Ecosistemas evaluados; categoría de riesgo de colapso; causa de deterioro.,"Número, %, Categoría",Aplicación de los criterios A-E de la UICN RLE (modelado de reducción espacial y degradación).,Informes nacionales UICN RLE; mapas históricos de cobertura; series climáticas.,"CDB, CNULD"
,A.2 Extensión de ecosistemas naturales,Área de ecosistemas naturales; pérdida/ganancia neta; fragmentación.,"Hectáreas (ha), km˛, % de cambio",Análisis de transición de uso de suelo (matrices LULC) mediante Sistemas de Información Geográfica.,"Sistemas Nacionales de Monitoreo de Bosques (MRV); MapBiomas, Dynamic World.","CDB, CMNUCC, CNULD"
,A.3 Índice de la Lista Roja,Especies por categoría UICN; cambios genuinos en riesgo de extinción.,Índice (0 a 1),Fórmula RLI (sumatoria de cambios de peso por categoría de amenaza).,Base de datos API de la Lista Roja UICN; Listas Rojas Nacionales.,CDB
,A.4 Proporción de poblaciones con tamańo efectivo >500,Tamańo efectivo poblacional (Ne); % con Ne>500.,"Número, %",Modelado genético espacial o estimación demográfica (,Monitoreos genéticos; bases de datos genómicas (NCBI).,CDB
,,,,).,,
Goal B,B.1 Servicios proporcionados por los ecosistemas,Oferta y uso de servicios ecosistémicos; magnitud biofísica; valor económico.,"Unidades biofísicas, Valor monetario",Modelado espacial de oferta/demanda y valoración de mercado o transferencia de beneficios.,Cuentas Nacionales SEEA-EA; modelos InVEST/ARIES.,"CDB, CMNUCC, CNULD"
,B.b Políticas/acciones de uso sostenible,Existencia de políticas; cobertura sectorial; presupuesto.,"Binario (Sí/No), Número",Revisión documental y mapeo de políticas vigentes en planificación sectorial.,Boletines oficiales; repositorios de Ministerios de Ambiente.,CDB
Goal C,C.1 / C.2 Beneficios monetarios y no monetarios,Permisos para recursos genéticos; transferencias de material.,"Número, Valor (USD)","Contabilidad de ingresos (tasas, regalías) y recuento de permisos IRCC emitidos.",ABS Clearing-House (ABSCH); Oficinas de Patentes.,CDB
Goal D,D.1 / D.2 / D.3 Financiación pública y privada,Flujos financieros hacia la biodiversidad; AOD; inversión privada.,Valor monetario (USD/Local),Marcadores de Río de la OCDE y etiquetado presupuestario (BIOFIN).,Sistema CRS de la OCDE; presupuestos de Hacienda.,"CDB, CMNUCC, CNULD"
Meta 1,1.1 % áreas bajo planificación espacial,Zonas intactas retenidas; áreas clave para la biodiversidad.,"% del territorio, ha",Análisis SIG de superposición entre planes de ordenamiento territorial vigentes y KBAs.,Catastros y SIG municipales/nacionales; base World Database of KBAs.,"CDB, CMNUCC, CNULD"
Meta 2,2.2 Zona en restauración,Extensión bajo restauración activa o pasiva.,"Hectáreas (ha), km˛",Análisis de series temporales satelitales (tendencias NDVI/EVI) y áreas de proyectos.,Plataforma Restor; Registros REDD+ y reforestación.,"CDB, CMNUCC, CNULD"
Meta 3,3.1 Cobertura de áreas protegidas y OECM,Polígonos de AP; conectividad (ProtConn); efectividad (PAME).,"%, ha, Índice",Sumatoria espacial disuelta de polígonos de AP/OECM sobre la superficie total.,WDPA; Sistemas Nacionales de AP (SINAP); reportes METT.,"CDB, CMNUCC, CNULD"
Meta 4,A.3 / A.4 (Ver Goal A),Parámetros de reducción de amenazas; planes de recuperación activos.,"Número de planes, Índice",Conteo de planes de manejo activos y evaluación de reducción de amenazas poblacionales.,Autoridades de vida silvestre; bases CMS/CITES.,CDB
Meta 5,5.1 Proporción de poblaciones de peces sostenibles,Biomasa de poblaciones reproductoras; niveles de pesca.,"% de poblaciones, Toneladas",Evaluaciones de stock pesquero en base al Rendimiento Máximo Sostenible (RMS).,Autoridades Pesqueras; FAO FishStatJ.,CDB
Meta 6,6.1 Tasa de establecimiento de especies invasoras,Tasa de propagación; número de intercepciones fronterizas.,"Número, Tasa",Conteo anual de nuevos registros confirmados de especies no nativas invasoras.,Redes de alerta temprana; Global Register of Introduced and Invasive Species.,CDB
Meta 7,7.1 / 7.2 Eutrofización y plaguicidas,Uso de fertilizantes/plaguicidas por hectárea; calidad de agua.,"kg/ha, mg/L",División de importaciones de agroquímicos entre el área cultivable; mediciones hidrológicas.,Estadísticas aduaneras; Ministerios de Agricultura.,"CDB, CNULD"
Meta 8,8.1 (Binario) Mitigación del cambio climático,Inventarios de GEI de AFOLU/LULUCF; biomasa aérea.,"Binario, tCO2e",Ecuaciones de inventarios de GEI aplicadas a matrices de cambios de uso de suelo (LULC).,Comunicaciones CMNUCC; mapas de biomasa ESA CCI.,"CDB, CMNUCC, CNULD"
Meta 9,9.1 / 9.2 Uso sostenible de especies silvestres,Volumen de productos no maderables; ocupaciones tradicionales.,"Toneladas, % de población",Censos demográficos y cuantificación de volúmenes extraídos.,Institutos de Estadística; encuestas rurales.,CDB
Meta 10,10.1 / 10.2 Agricultura y silvicultura sostenibles,Superficie bajo certificación forestal o agrícola sostenible.,"% de superficie, ha",Sumatoria de áreas reportadas bajo esquemas de certificación sostenible vigentes.,"Certificadoras (FSC, PEFC, orgánicas); Min. Agricultura.","CDB, CMNUCC, CNULD"
Meta 11,B.1 (Ver Goal B) Contribuciones de la naturaleza,Regulación hídrica; secuestro de carbono; reducción de desastres.,"mł, tCO2e, Personas",Modelación hidrológica e índices de retención de suelo superpuestos con capas de exposición.,Modelos InVEST; Ministerios de Ambiente y Protección Civil.,"CDB, CMNUCC, CNULD"
Meta 12,12.1 Espacios verdes/azules urbanos,Proporción de superficie urbana verde/azul de acceso público.,"% de área, m˛/hab",Extracción de áreas verdes (índice NDVI en casco urbano) divididas por población.,Imágenes satelitales; OpenStreetMap; catastros.,"CDB, CMNUCC"
Meta 13,C.1 / C.2 (Ver Goal C) Participación en beneficios,Marcos legislativos o administrativos establecidos para APB.,"Binario (Sí/No), Número",Auditoría de instrumentos normativos vigentes y su publicación oficial.,ABS Clearing-House; Ministerios de Relaciones Exteriores.,CDB
Meta 14,14.1 (Binario) Integración sectorial,"Metas de biodiversidad en políticas sectoriales, EIA y cuentas.","Binario (Sí/No), Número",Auditoría de documentos normativos y Evaluaciones de Impacto Ambiental.,Gacetas oficiales; bases de resoluciones ambientales (EIA).,"CDB, CMNUCC, CNULD"
Meta 15,15.1 Empresas que divulgan riesgos/impactos,Número de informes de sostenibilidad corporativa.,Número,Auditoría de reportes corporativos estandarizados alineados a marcos financieros.,Registros de Bolsas de Valores; bases TNFD/GRI.,"CDB, CMNUCC"
Meta 16,16.1 (Binario) Consumo sostenible,Índice de desperdicio de alimentos; huella material; tasas de reciclaje.,"Binario, kg/cápita, %",Análisis de flujos de materiales a nivel nacional y cálculos de generación de residuos.,Cuentas de flujo de materiales; informes de plantas de tratamiento.,"CDB, CMNUCC"
Meta 17,17.1 (Binario) Bioseguridad,Medidas legislativas y capacidad institucional (bioseguridad).,"Binario (Sí/No), Número",Evaluación institucional sobre marcos vigentes y auditoría de presupuestos a laboratorios.,Biosafety Clearing-House; Min. Ciencia y Agricultura.,CDB
Meta 18,18.1 / 18.2 Subsidios e incentivos,Incentivos positivos; valor de subsidios perjudiciales reformados.,Valor monetario,Análisis del Gasto Público para identificar y contabilizar subsidios agrícolas/pesqueros perjudiciales.,Ministerios de Hacienda; bases de subsidios OCDE y FAO.,"CDB, CMNUCC"
Meta 19,D.1 / D.2 / D.3 Recursos financieros,"Financiamiento internacional, doméstico y privado.",Valor monetario,Consolidación contable mediante etiquetado presupuestario y sumatoria de AOD.,Plataformas GEF; reportes BIOFIN; base OCDE CRS.,"CDB, CMNUCC, CNULD"
Meta 20,20.b Creación de capacidad y tecnología,"Acciones de fortalecimiento, transferencia e innovación.","Número, Valor (USD)",Contabilidad de proyectos de cooperación oficial y fondos para transferencia tecnológica.,Agencias de Cooperación (AOD); repositorios de proyectos.,"CDB, CMNUCC, CNULD"
Meta 21,21.1 Información relativa a la biodiversidad,Cobertura de datos; % de headline indicators disponibles.,"Número, %",Análisis de completitud (Gap analysis) en el sistema nacional de información.,Sistemas de Información de Biodiversidad; nodos GBIF.,"CDB, CMNUCC, CNULD"
Meta 22,22.1 / 22.b Pueblos indígenas y equidad,Cambio LULC en territorios tradicionales; tenencia legal.,"Binario, ha, %",Análisis SIG superponiendo mapas de títulos de propiedad comunitaria con capas de cambio de cobertura.,Catastros; Sistemas Nacionales de Propiedad.,"CDB, CMNUCC, CNULD"
Meta 23,23.b Igualdad de género,Marco legal implementado; acceso a tierra por sexo.,"Binario, % tenencia",Extracción de datos estadísticos de propiedad de tierras segmentados por género.,Censos Agrícolas; Registros de Propiedad; Min. Mujer.,"CDB, CMNUCC, CNULD"
